kind,dataset,detail1,detail2,metric,point,ci_lo,ci_hi,ci95,perm_p,excludes_0p5,n
benchmark,human_nontata_promoters,lgbm,k6,mcc,0.8737,0.8645,0.8826,"[0.864, 0.883]",,,9034
benchmark,human_nontata_promoters,lgbm,k6,auroc,0.9891,0.9875,0.9906,"[0.988, 0.991]",,,9034
benchmark,human_enhancers_cohn,lgbm,k5,mcc,0.4612,0.4404,0.4818,"[0.440, 0.482]",,,6948
benchmark,human_enhancers_cohn,lgbm,k5,auroc,0.8046,0.7943,0.814,"[0.794, 0.814]",,,6948
benchmark,human_enhancers_ensembl,lgbm,k6,mcc,0.5934,0.585,0.6024,"[0.585, 0.602]",,,30970
benchmark,human_enhancers_ensembl,lgbm,k6,auroc,0.8748,0.8711,0.8788,"[0.871, 0.879]",,,30970
benchmark,human_ocr_ensembl,lgbm,k6,mcc,0.4213,0.4116,0.4301,"[0.412, 0.430]",,,34952
benchmark,human_ocr_ensembl,lgbm,k6,auroc,0.7851,0.7802,0.7895,"[0.780, 0.790]",,,34952
benchmark,human_ensembl_regulatory,lgbm,k5,mcc,0.9067,0.9037,0.9096,"[0.904, 0.910]",,,57713
benchmark,human_ensembl_regulatory,lgbm,k5,auroc,0.9907,0.9902,0.9912,"[0.990, 0.991]",,,57713
benchmark,drosophila_enhancers_stark,lgbm,k5,mcc,0.4452,0.4054,0.485,"[0.405, 0.485]",,,1730
benchmark,drosophila_enhancers_stark,lgbm,k5,auroc,0.7802,0.7571,0.8006,"[0.757, 0.801]",,,1730
benchmark,dummy_mouse_enhancers_ensembl,lgbm,k3,mcc,0.622,0.5202,0.7273,"[0.520, 0.727]",,,242
benchmark,dummy_mouse_enhancers_ensembl,lgbm,k3,auroc,0.8853,0.8417,0.9253,"[0.842, 0.925]",,,242
benchmark,demo_coding_vs_intergenomic_seqs,lgbm,k5,mcc,0.8002,0.7933,0.8076,"[0.793, 0.808]",,,25000
benchmark,demo_coding_vs_intergenomic_seqs,lgbm,k5,auroc,0.9646,0.9627,0.9665,"[0.963, 0.967]",,,25000
benchmark,demo_human_or_worm,lgbm,k4,mcc,0.915,0.9101,0.92,"[0.910, 0.920]",,,25000
benchmark,demo_human_or_worm,lgbm,k4,auroc,0.9923,0.9916,0.9931,"[0.992, 0.993]",,,25000
motif_auroc,human_nontata_promoters,positive_vs_negative,SP1,motif_auroc,0.7256,0.7168,0.7341,"[0.717, 0.734]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,SP2,motif_auroc,0.7513,0.7422,0.7613,"[0.742, 0.761]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,SP3,motif_auroc,0.6622,0.6537,0.6709,"[0.654, 0.671]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,SP4,motif_auroc,0.7073,0.6979,0.7169,"[0.698, 0.717]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,KLF15,motif_auroc,0.7506,0.7421,0.7584,"[0.742, 0.758]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,KLF5,motif_auroc,0.7215,0.7116,0.7308,"[0.712, 0.731]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,ETS1,motif_auroc,0.5784,0.5711,0.5854,"[0.571, 0.585]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,ETS2,motif_auroc,0.5741,0.5673,0.5811,"[0.567, 0.581]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,ELF4,motif_auroc,0.5249,0.5213,0.5286,"[0.521, 0.529]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,ETV2,motif_auroc,0.5428,0.5373,0.5485,"[0.537, 0.548]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,FLI1,motif_auroc,0.5691,0.5627,0.5756,"[0.563, 0.576]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,TFAP4,motif_auroc,0.4974,0.4935,0.5017,"[0.493, 0.502]",0.208,False,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,HAND2,motif_auroc,0.4918,0.4828,0.5011,"[0.483, 0.501]",0.0879,False,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,MYOD1,motif_auroc,0.4812,0.4725,0.4894,"[0.472, 0.489]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,MYC,motif_auroc,0.5158,0.5076,0.5235,"[0.508, 0.524]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,BATF3,motif_auroc,0.4391,0.4314,0.4471,"[0.431, 0.447]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,FOS,motif_auroc,0.4789,0.4727,0.4843,"[0.473, 0.484]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,Jun,motif_auroc,0.454,0.4463,0.4615,"[0.446, 0.461]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,BACH1,motif_auroc,0.4957,0.4914,0.4997,"[0.491, 0.500]",0.0649,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,TBP,motif_auroc,0.3722,0.3625,0.382,"[0.363, 0.382]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,PBX1,motif_auroc,0.4819,0.4764,0.4875,"[0.476, 0.488]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,PBX2,motif_auroc,0.4523,0.4459,0.4587,"[0.446, 0.459]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,MEIS1,motif_auroc,0.4325,0.4202,0.4438,"[0.420, 0.444]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,MEIS2,motif_auroc,0.4618,0.454,0.4701,"[0.454, 0.470]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,FOXC1,motif_auroc,0.4573,0.452,0.4629,"[0.452, 0.463]",0.000999,True,8000
motif_auroc,human_nontata_promoters,positive_vs_negative,TGIF1,motif_auroc,0.5004,0.4997,0.5011,"[0.500, 0.501]",0.516,False,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,SP1,motif_auroc,0.5596,0.5516,0.5667,"[0.552, 0.567]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,SP2,motif_auroc,0.5817,0.5726,0.5904,"[0.573, 0.590]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,SP3,motif_auroc,0.537,0.5312,0.5428,"[0.531, 0.543]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,SP4,motif_auroc,0.5687,0.5599,0.5767,"[0.560, 0.577]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,KLF15,motif_auroc,0.5476,0.5421,0.5529,"[0.542, 0.553]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,KLF5,motif_auroc,0.5957,0.5864,0.6052,"[0.586, 0.605]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,ETS1,motif_auroc,0.5585,0.551,0.566,"[0.551, 0.566]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,ETS2,motif_auroc,0.548,0.5411,0.5549,"[0.541, 0.555]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,ELF4,motif_auroc,0.5064,0.5038,0.5089,"[0.504, 0.509]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,ETV2,motif_auroc,0.5302,0.5241,0.5361,"[0.524, 0.536]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,FLI1,motif_auroc,0.5402,0.5341,0.546,"[0.534, 0.546]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,TFAP4,motif_auroc,0.5192,0.5134,0.5253,"[0.513, 0.525]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,HAND2,motif_auroc,0.54,0.5291,0.551,"[0.529, 0.551]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,MYOD1,motif_auroc,0.5476,0.5378,0.5579,"[0.538, 0.558]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,MYC,motif_auroc,0.547,0.5387,0.5562,"[0.539, 0.556]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,BATF3,motif_auroc,0.4856,0.4736,0.4964,"[0.474, 0.496]",0.016,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,FOS,motif_auroc,0.5038,0.4942,0.5134,"[0.494, 0.513]",0.429,False,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,Jun,motif_auroc,0.4979,0.4867,0.5093,"[0.487, 0.509]",0.682,False,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,BACH1,motif_auroc,0.5127,0.5049,0.52,"[0.505, 0.520]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,TBP,motif_auroc,0.3242,0.3131,0.3364,"[0.313, 0.336]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,PBX1,motif_auroc,0.4491,0.4393,0.4584,"[0.439, 0.458]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,PBX2,motif_auroc,0.4132,0.403,0.4239,"[0.403, 0.424]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,MEIS1,motif_auroc,0.5102,0.4979,0.5228,"[0.498, 0.523]",0.107,False,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,MEIS2,motif_auroc,0.5312,0.521,0.5421,"[0.521, 0.542]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,FOXC1,motif_auroc,0.4399,0.4306,0.4488,"[0.431, 0.449]",0.000999,True,8000
motif_auroc,human_enhancers_cohn,positive_vs_negative,TGIF1,motif_auroc,0.4999,0.4988,0.501,"[0.499, 0.501]",1.0,False,8000
motif_auroc,human_enhancers_ensembl,positive_vs_negative,SP1,motif_auroc,0.5479,0.5412,0.5546,"[0.541, 0.555]",0.000999,True,8000
motif_auroc,human_enhancers_ensembl,positive_vs_negative,SP2,motif_auroc,0.5611,0.5533,0.5695,"[0.553, 0.569]",0.000999,True,8000
motif_auroc,human_enhancers_ensembl,positive_vs_negative,SP3,motif_auroc,0.531,0.5257,0.5357,"[0.526, 0.536]",0.000999,True,8000
motif_auroc,human_enhancers_ensembl,positive_vs_negative,SP4,motif_auroc,0.549,0.541,0.5561,"[0.541, 0.556]",0.000999,True,8000
