dataset,role,measure,pos_mean,neg_mean,diff_pos_minus_neg,neg_enriched,auroc_pos_gt_neg,auroc_lo,auroc_hi,mannwhitney_p,n_pos,n_neg
human_enhancers_cohn,suspect,TATA_TBP_hits,0.6833,1.6413,-0.958,True,0.3671,0.3557,0.3769,4.13e-113,4000,4000
human_enhancers_cohn,suspect,GCbox_SP1_hits,0.3147,0.1095,0.2052,False,0.5596,0.552,0.5677,2.71e-51,4000,4000
human_enhancers_cohn,suspect,GC_content,0.4684,0.3924,0.0759,False,0.738,0.7269,0.7482,1.21e-297,4000,4000
human_enhancers_cohn,suspect,CpG_OE,0.2575,0.1847,0.0728,False,0.6293,0.6171,0.6413,2.71e-89,4000,4000
human_enhancers_cohn,suspect,TATA_box_fraction(>=1),0.3458,0.5727,-0.227,True,,,,,4000,4000
human_enhancers_ensembl,suspect,TATA_TBP_hits,0.3847,0.8227,-0.438,True,0.4406,0.4305,0.451,3.46e-31,4000,4000
human_enhancers_ensembl,suspect,GCbox_SP1_hits,0.2215,0.0695,0.152,False,0.5479,0.5414,0.554,7.97e-45,4000,4000
human_enhancers_ensembl,suspect,GC_content,0.4621,0.4088,0.0533,False,0.6654,0.6547,0.6778,7.54e-145,4000,4000
human_enhancers_ensembl,suspect,CpG_OE,0.2548,0.2096,0.0452,False,0.5682,0.5556,0.5797,2.61e-26,4000,4000
human_enhancers_ensembl,suspect,TATA_box_fraction(>=1),0.2298,0.338,-0.1083,True,,,,,4000,4000
human_ocr_ensembl,control,TATA_TBP_hits,1.0163,0.9367,0.0795,False,0.4495,0.4395,0.4603,6.57e-20,4000,4000
human_ocr_ensembl,control,GCbox_SP1_hits,0.0862,0.0917,-0.0055,True,0.5013,0.4958,0.5068,0.648,4000,4000
human_ocr_ensembl,control,GC_content,0.4236,0.4073,0.0163,False,0.5711,0.5575,0.5841,3.24e-28,4000,4000
human_ocr_ensembl,control,CpG_OE,0.185,0.2076,-0.0226,True,0.4569,0.4444,0.4692,2.13e-11,4000,4000
human_ocr_ensembl,control,TATA_box_fraction(>=1),0.318,0.408,-0.09,True,,,,,4000,4000
drosophila_enhancers_stark,control,TATA_TBP_hits,7.4582,7.195,0.2632,False,0.539,0.5253,0.5528,1.81e-08,3457,3457
drosophila_enhancers_stark,control,GCbox_SP1_hits,0.5745,0.429,0.1455,False,0.5464,0.5345,0.5576,3.04e-15,3457,3457
drosophila_enhancers_stark,control,GC_content,0.4164,0.4206,-0.0042,True,0.4869,0.4727,0.5007,0.0596,3457,3457
drosophila_enhancers_stark,control,CpG_OE,0.9277,0.9265,0.0012,False,0.5015,0.4872,0.5157,0.833,3457,3457
drosophila_enhancers_stark,control,TATA_box_fraction(>=1),0.9728,0.9384,0.0344,False,,,,,3457,3457
