dataset,contrast,representative,family,TF,matrix_id,pos_mean_hits,neg_mean_hits,diff,motif_auroc,separation,mannwhitney_p,n_pos,n_neg
human_nontata_promoters,positive_vs_negative,True,GC-box/Sp1-KLF,SP1,MA0079.5,1.102,0.146,0.956,0.7256,0.7256,0.0,4000,4000
human_nontata_promoters,positive_vs_negative,True,GC-box/Sp1-KLF,SP2,MA0516.3,1.5448,0.2577,1.287,0.7513,0.7513,0.0,4000,4000
human_nontata_promoters,positive_vs_negative,True,GC-box/Sp1-KLF,SP3,MA0746.3,0.6115,0.0668,0.5448,0.6622,0.6622,5.24e-276,4000,4000
human_nontata_promoters,positive_vs_negative,True,GC-box/Sp1-KLF,SP4,MA0685.2,0.9995,0.1655,0.834,0.7073,0.7073,0.0,4000,4000
human_nontata_promoters,positive_vs_negative,True,GC-box/Sp1-KLF,KLF15,MA1513.2,1.6122,0.1123,1.5,0.7506,0.7506,0.0,4000,4000
human_nontata_promoters,positive_vs_negative,True,GC-box/Sp1-KLF,KLF5,MA0599.1,1.3425,0.3147,1.0278,0.7215,0.7215,0.0,4000,4000
human_nontata_promoters,positive_vs_negative,True,ETS,ETS1,MA0098.4,0.2923,0.0703,0.222,0.5784,0.5784,3.81e-90,4000,4000
human_nontata_promoters,positive_vs_negative,True,ETS,ETS2,MA1484.2,0.2497,0.0483,0.2015,0.5741,0.5741,3.68e-93,4000,4000
human_nontata_promoters,positive_vs_negative,True,ETS,ELF4,MA0641.1,0.059,0.0047,0.0542,0.5249,0.5249,2.32e-39,4000,4000
human_nontata_promoters,positive_vs_negative,True,ETS,ETV2,MA0762.2,0.1417,0.0357,0.106,0.5428,0.5428,9.12e-47,4000,4000
human_nontata_promoters,positive_vs_negative,True,ETS,FLI1,MA0475.3,0.222,0.036,0.186,0.5691,0.5691,4.21e-93,4000,4000
human_nontata_promoters,positive_vs_negative,True,E-box,TFAP4,MA0691.1,0.0345,0.0403,-0.0057,0.4974,0.5026,0.209,4000,4000
human_nontata_promoters,positive_vs_negative,True,E-box,HAND2,MA1638.2,0.2625,0.2848,-0.0222,0.4918,0.5082,0.0871,4000,4000
human_nontata_promoters,positive_vs_negative,True,E-box,MYOD1,MA0499.3,0.1945,0.2607,-0.0662,0.4812,0.5188,1.68e-05,4000,4000
