kind,dataset,detail1,detail2,metric,point,ci_lo,ci_hi,ci95,perm_p,excludes_0p5,n
benchmark,nt_enhancers,lgbm,k5,mcc,0.5332,0.4504,0.6171,"[0.450, 0.617]",,,400
benchmark,nt_enhancers,lgbm,k5,auroc,0.8414,0.8016,0.8811,"[0.802, 0.881]",,,400
benchmark,nt_enhancers_types,lgbm,k5,mcc,0.4818,0.4287,0.5352,"[0.429, 0.535]",,,400
benchmark,nt_enhancers_types,lgbm,k5,auroc,0.842,0.8117,0.8729,"[0.812, 0.873]",,,400
benchmark,nt_promoter_all,lgbm,k4,mcc,0.8878,0.8766,0.8991,"[0.877, 0.899]",,,5920
benchmark,nt_promoter_all,lgbm,k4,auroc,0.9854,0.9828,0.9878,"[0.983, 0.988]",,,5920
benchmark,nt_promoter_no_tata,lgbm,k4,mcc,0.8867,0.8731,0.8989,"[0.873, 0.899]",,,5299
benchmark,nt_promoter_no_tata,lgbm,k4,auroc,0.9845,0.9816,0.9873,"[0.982, 0.987]",,,5299
benchmark,nt_promoter_tata,lgbm,k3,mcc,0.8589,0.8178,0.898,"[0.818, 0.898]",,,621
benchmark,nt_promoter_tata,lgbm,k3,auroc,0.9841,0.9756,0.991,"[0.976, 0.991]",,,621
benchmark,nt_splice_sites_all,lgbm,k6,mcc,0.278,0.251,0.3061,"[0.251, 0.306]",,,3000
benchmark,nt_splice_sites_all,lgbm,k6,auroc,0.7069,0.6922,0.7222,"[0.692, 0.722]",,,3000
motif_auroc,nt_enhancers,1_vs_0,SP1,motif_auroc,0.5239,0.5193,0.529,"[0.519, 0.529]",0.000999,True,8000
motif_auroc,nt_enhancers,1_vs_0,SP2,motif_auroc,0.5405,0.5348,0.5468,"[0.535, 0.547]",0.000999,True,8000
motif_auroc,nt_enhancers,1_vs_0,SP3,motif_auroc,0.5115,0.5081,0.5148,"[0.508, 0.515]",0.000999,True,8000
motif_auroc,nt_enhancers,1_vs_0,SP4,motif_auroc,0.531,0.5254,0.5364,"[0.525, 0.536]",0.000999,True,8000
motif_auroc,nt_enhancers,1_vs_0,KLF15,motif_auroc,0.514,0.5105,0.5174,"[0.511, 0.517]",0.000999,True,8000
motif_auroc,nt_enhancers,1_vs_0,KLF5,motif_auroc,0.5449,0.539,0.5517,"[0.539, 0.552]",0.000999,True,8000
motif_auroc,nt_enhancers,1_vs_0,ETS1,motif_auroc,0.5077,0.5026,0.5126,"[0.503, 0.513]",0.002,True,8000
motif_auroc,nt_enhancers,1_vs_0,ETS2,motif_auroc,0.5071,0.5031,0.5111,"[0.503, 0.511]",0.002,True,8000
