dataset,role,measure,pos_mean,neg_mean,diff_pos_minus_neg,neg_enriched,auroc_pos_gt_neg,auroc_lo,auroc_hi,mannwhitney_p,n_pos,n_neg
nt_enhancers,suspect,TATA_TBP_hits,0.14,0.58,-0.44,True,0.3919,0.3837,0.4011,8.61e-123,4000,4000
nt_enhancers,suspect,GCbox_SP1_hits,0.087,0.0315,0.0555,False,0.5239,0.5188,0.5287,3.86e-22,4000,4000
nt_enhancers,suspect,GC_content,0.4817,0.3979,0.0838,False,0.8247,0.816,0.8337,0.0,4000,4000
nt_enhancers,suspect,CpG_OE,0.2766,0.2168,0.0598,False,0.6038,0.5909,0.6152,2.56e-58,4000,4000
nt_enhancers,suspect,TATA_box_fraction(>=1),0.1057,0.315,-0.2092,True,,,,,4000,4000
nt_promoter_all,control,TATA_TBP_hits,0.1668,0.1857,-0.019,True,0.4878,0.4806,0.4952,0.00108,4000,4000
nt_promoter_all,control,GCbox_SP1_hits,1.1345,0.428,0.7065,False,0.6338,0.6236,0.6445,7.13e-121,4000,4000
nt_promoter_all,control,GC_content,0.6108,0.5459,0.0649,False,0.6968,0.6848,0.7091,3.63e-204,4000,4000
nt_promoter_all,control,CpG_OE,0.6358,0.8685,-0.2327,True,0.2973,0.2861,0.3085,2.13e-216,4000,4000
nt_promoter_all,control,TATA_box_fraction(>=1),0.1148,0.1403,-0.0255,True,,,,,4000,4000
nt_promoter_no_tata,control,TATA_TBP_hits,0.1123,0.1777,-0.0655,True,0.4681,0.4613,0.4747,2.17e-20,4000,4000
nt_promoter_no_tata,control,GCbox_SP1_hits,1.134,0.4228,0.7112,False,0.6391,0.6277,0.6496,3.96e-130,4000,4000
nt_promoter_no_tata,control,GC_content,0.6161,0.5481,0.068,False,0.7074,0.6957,0.7197,1.47e-226,4000,4000
nt_promoter_no_tata,control,CpG_OE,0.6529,0.8707,-0.2178,True,0.3064,0.2958,0.3181,1.12e-197,4000,4000
nt_promoter_no_tata,control,TATA_box_fraction(>=1),0.0737,0.138,-0.0643,True,,,,,4000,4000
nt_promoter_tata,control,TATA_TBP_hits,0.6219,0.3608,0.261,False,0.5885,0.5769,0.6005,1.09e-46,3065,3065
nt_promoter_tata,control,GCbox_SP1_hits,0.771,0.2904,0.4806,False,0.6064,0.5947,0.6169,7.28e-69,3065,3065
nt_promoter_tata,control,GC_content,0.5553,0.5223,0.033,False,0.5765,0.5614,0.5921,3.06e-25,3065,3065
nt_promoter_tata,control,CpG_OE,0.481,0.8102,-0.3292,True,0.2234,0.2118,0.2348,8e-308,3065,3065
nt_promoter_tata,control,TATA_box_fraction(>=1),0.4326,0.2542,0.1785,False,,,,,3065,3065
