dataset,k,collection,TF,matrix_id,enrich_z,p,fdr
nt_enhancers,5,vertebrates,Atoh1,MA0461.3,5.785,3.63e-09,3.19e-06
nt_enhancers,5,vertebrates,TAL1::TCF3,MA0091.2,5.455,2.44e-08,1.07e-05
nt_enhancers,5,vertebrates,Ptf1A,MA1618.2,5.287,6.21e-08,1.82e-05
nt_enhancers,5,vertebrates,NEUROG2,MA0669.1,5.183,1.09e-07,2.39e-05
nt_enhancers,5,vertebrates,BHLHA15,MA0607.2,5.087,1.82e-07,3.2e-05
nt_enhancers,5,vertebrates,OLIG3,MA0827.1,4.938,3.94e-07,5.77e-05
nt_enhancers,5,vertebrates,OLIG2,MA0678.1,4.628,1.84e-06,0.000232
nt_enhancers,5,vertebrates,ZNF8,MA1718.1,4.588,2.24e-06,0.000246
nt_enhancers,5,vertebrates,TWIST1,MA1123.3,4.526,3e-06,0.000293
nt_enhancers,5,vertebrates,OLIG1,MA0826.1,4.484,3.65e-06,0.000321
nt_enhancers,5,vertebrates,Atoh1,MA1467.3,4.378,5.98e-06,0.000478
nt_enhancers,5,vertebrates,RORC,MA1151.2,4.349,6.83e-06,0.000495
nt_enhancers,5,vertebrates,Neurod2,MA0668.3,4.334,7.32e-06,0.000495
nt_enhancers,5,vertebrates,NEUROG2,MA1642.2,4.258,1.03e-05,0.000621
nt_enhancers,5,vertebrates,MEF2B,MA0660.1,4.247,1.08e-05,0.000621
nt_enhancers,5,vertebrates,ZNF157,MA2331.1,4.238,1.13e-05,0.000621
nt_enhancers,5,vertebrates,MEF2D,MA0773.1,4.204,1.31e-05,0.000677
nt_enhancers,5,vertebrates,BHLHE23,MA0817.2,4.153,1.64e-05,0.0008
nt_enhancers,5,vertebrates,TCF21,MA1568.2,4.038,2.7e-05,0.00125
nt_enhancers,5,vertebrates,NEUROD1,MA1109.2,3.993,3.26e-05,0.00133
nt_enhancers,5,vertebrates,Msgn1,MA1524.3,3.991,3.29e-05,0.00133
nt_enhancers,5,vertebrates,Hoxa13,MA0650.4,3.983,3.4e-05,0.00133
nt_enhancers,5,vertebrates,HOXB13,MA0901.3,3.978,3.48e-05,0.00133
nt_enhancers,5,vertebrates,Yy1,MA0095.4,3.891,5e-05,0.00176
nt_enhancers,5,vertebrates,NOTO,MA0710.2,3.891,5e-05,0.00176
nt_enhancers,5,vertebrates,Arid5a,MA0602.2,3.88,5.23e-05,0.00177
nt_enhancers,5,vertebrates,ZNF211,MA1974.2,3.827,6.5e-05,0.00211
nt_enhancers,5,vertebrates,MXI1,MA1108.3,3.806,7.05e-05,0.00221
nt_enhancers,5,vertebrates,FOXB1,MA0845.1,3.779,7.86e-05,0.00238
nt_enhancers,5,vertebrates,RORB,MA1150.2,3.727,9.68e-05,0.00284
nt_enhancers,5,vertebrates,Dmrt1,MA1603.2,3.703,0.000106,0.00302
nt_enhancers,5,vertebrates,Rarb,MA0858.1,3.692,0.000111,0.00306
nt_enhancers,5,vertebrates,SOX2,MA0143.5,3.667,0.000123,0.00322
nt_enhancers,5,vertebrates,TFAP4,MA1570.1,3.663,0.000125,0.00322
nt_enhancers,5,vertebrates,ZNF384,MA1125.2,3.656,0.000128,0.00322
nt_enhancers,5,vertebrates,RORA,MA0072.2,3.615,0.00015,0.00366
nt_enhancers,5,vertebrates,MEF2A,MA0052.5,3.544,0.000197,0.00467
nt_enhancers,5,vertebrates,VAX2,MA0723.3,3.441,0.00029,0.0066
nt_enhancers,5,vertebrates,CDX2,MA0465.3,3.438,0.000293,0.0066
nt_enhancers,5,vertebrates,ZNF558,MA2335.1,3.43,0.000302,0.00664
nt_enhancers,5,vertebrates,POU3F3,MA0788.1,3.42,0.000314,0.00672
nt_enhancers,5,vertebrates,ZNF354A,MA1978.2,3.394,0.000344,0.00721
nt_enhancers,5,vertebrates,Sox3,MA0514.3,3.37,0.000376,0.00768
nt_enhancers,5,vertebrates,Foxl2,MA1607.2,3.362,0.000386,0.00772
nt_enhancers,5,vertebrates,RAX,MA0718.2,3.336,0.000426,0.00831
nt_enhancers,5,vertebrates,DLX6,MA0882.2,3.316,0.000456,0.00872
nt_enhancers,5,vertebrates,SOX13,MA1120.2,3.3,0.000483,0.00903
nt_enhancers,5,vertebrates,MEF2C,MA0497.2,3.181,0.000733,0.0132
nt_enhancers,5,vertebrates,TBP,MA0108.3,3.181,0.000734,0.0132
nt_enhancers,5,vertebrates,BHLHE22,MA0818.2,3.175,0.000749,0.0132
nt_enhancers,5,vertebrates,FOXC1,MA0032.2,3.151,0.000814,0.0138
nt_enhancers,5,vertebrates,Foxj3,MA0851.2,3.15,0.000816,0.0138
nt_enhancers,5,vertebrates,FOXO6,MA0849.1,3.142,0.00084,0.0139
nt_enhancers,5,vertebrates,Spi1,MA0080.7,3.033,0.00121,0.0197
nt_enhancers,5,vertebrates,POU4F2,MA0683.2,3.019,0.00127,0.0202
nt_enhancers,5,vertebrates,SOX15,MA1152.2,2.963,0.00152,0.0239
nt_enhancers,5,vertebrates,ZBTB18,MA0698.2,2.955,0.00156,0.0241
nt_enhancers,5,vertebrates,NEUROG1,MA0623.2,2.941,0.00163,0.0248
nt_enhancers,5,vertebrates,ZBED1,MA0749.2,2.925,0.00172,0.0256
nt_enhancers,5,vertebrates,DLX1,MA0879.3,2.872,0.00204,0.0296
nt_enhancers,5,vertebrates,NFIL3,MA0025.3,2.869,0.00206,0.0296
nt_enhancers,5,vertebrates,ZNF410,MA0752.2,2.864,0.00209,0.0296
nt_enhancers,5,vertebrates,POU4F1,MA0790.2,2.839,0.00227,0.0316
nt_enhancers,5,vertebrates,ISL2,MA0914.2,2.823,0.00238,0.0323
nt_enhancers,5,vertebrates,ZFP42,MA1651.2,2.822,0.00239,0.0323
nt_enhancers,5,vertebrates,Hmga1,MA2124.1,2.78,0.00272,0.0362
nt_enhancers,5,vertebrates,ATOH7,MA1468.1,2.755,0.00294,0.0382
nt_enhancers,5,vertebrates,SOX10,MA0442.3,2.753,0.00295,0.0382
nt_enhancers,5,vertebrates,Foxj2,MA0614.1,2.737,0.0031,0.039
nt_enhancers,5,vertebrates,HLF,MA0043.4,2.736,0.00311,0.039
nt_enhancers,5,vertebrates,POU4F3,MA0791.2,2.73,0.00317,0.0392
nt_enhancers,5,vertebrates,NKX6-2,MA0675.2,2.716,0.00331,0.0399
nt_enhancers,5,vertebrates,Dlx3,MA0880.2,2.709,0.00337,0.0399
nt_enhancers,5,vertebrates,Gfi1B,MA0483.2,2.708,0.00338,0.0399
nt_enhancers,5,vertebrates,ISX,MA0654.2,2.706,0.0034,0.0399
nt_enhancers,5,vertebrates,MNT,MA0825.2,2.673,0.00376,0.0435
nt_enhancers,5,vertebrates,Shox2,MA0720.2,2.664,0.00387,0.0438
nt_enhancers,5,vertebrates,PPARA::RXRA,MA1148.2,2.662,0.00389,0.0438
nt_enhancers,5,vertebrates,Hnf1A,MA1991.2,2.642,0.00412,0.0458
nt_enhancers,5,vertebrates,ESX1,MA0644.3,2.636,0.00419,0.046
nt_enhancers,5,vertebrates,TEF,MA0843.2,2.63,0.00427,0.0463
nt_enhancers,5,vertebrates,CREB1,MA0018.5,2.601,0.00465,0.0495
nt_enhancers,5,vertebrates,Arid3b,MA0601.2,2.599,0.00468,0.0495
nt_enhancers_types,5,vertebrates,TAL1::TCF3,MA0091.2,4.381,5.92e-06,0.00287
nt_enhancers_types,5,vertebrates,RORC,MA1151.2,4.227,1.18e-05,0.00287
nt_enhancers_types,5,vertebrates,Atoh1,MA0461.3,4.156,1.62e-05,0.00287
nt_enhancers_types,5,vertebrates,Ptf1A,MA1618.2,4.129,1.82e-05,0.00287
nt_enhancers_types,5,vertebrates,RORB,MA1150.2,4.115,1.94e-05,0.00287
nt_enhancers_types,5,vertebrates,TWIST1,MA1123.3,4.112,1.96e-05,0.00287
nt_enhancers_types,5,vertebrates,Rarb,MA0858.1,4.038,2.7e-05,0.00339
nt_enhancers_types,5,vertebrates,Neurod2,MA0668.3,3.741,9.18e-05,0.00865
nt_enhancers_types,5,vertebrates,NEUROG2,MA1642.2,3.736,9.33e-05,0.00865
nt_enhancers_types,5,vertebrates,Spi1,MA0080.7,3.723,9.84e-05,0.00865
nt_enhancers_types,5,vertebrates,Atoh1,MA1467.3,3.667,0.000123,0.00927
nt_enhancers_types,5,vertebrates,NEUROG2,MA0669.1,3.659,0.000127,0.00927
nt_enhancers_types,5,vertebrates,Yy1,MA0095.4,3.622,0.000146,0.00989
nt_enhancers_types,5,vertebrates,NEUROD1,MA1109.2,3.504,0.000229,0.0144
nt_enhancers_types,5,vertebrates,Msgn1,MA1524.3,3.486,0.000245,0.0144
nt_enhancers_types,5,vertebrates,BHLHA15,MA0607.2,3.467,0.000263,0.0145
nt_enhancers_types,5,vertebrates,PPARA::RXRA,MA1148.2,3.443,0.000287,0.0149
nt_enhancers_types,5,vertebrates,RORA,MA0071.1,3.295,0.000492,0.0232
nt_enhancers_types,5,vertebrates,RARA,MA0730.1,3.29,0.000502,0.0232
nt_enhancers_types,5,vertebrates,MEF2D,MA0773.1,3.148,0.000821,0.0347
nt_enhancers_types,5,vertebrates,OLIG3,MA0827.1,3.131,0.00087,0.0347
nt_enhancers_types,5,vertebrates,ZNF675,MA1714.2,3.122,0.000897,0.0347
nt_enhancers_types,5,vertebrates,ZNF384,MA1125.2,3.119,0.000907,0.0347
nt_enhancers_types,5,vertebrates,MEF2B,MA0660.1,3.018,0.00127,0.0466
nt_promoter_all,4,vertebrates,HOXD11,MA0908.2,6.192,2.97e-10,1.77e-07
