dataset,contrast,representative,family,TF,matrix_id,pos_mean_hits,neg_mean_hits,diff,motif_auroc,separation,mannwhitney_p,n_pos,n_neg
nt_enhancers,1_vs_0,True,GC-box/Sp1-KLF,SP1,MA0079.5,0.087,0.0315,0.0555,0.5239,0.5239,3.86e-22,4000,4000
nt_enhancers,1_vs_0,True,GC-box/Sp1-KLF,SP2,MA0516.3,0.1427,0.0428,0.1,0.5405,0.5405,1.06e-41,4000,4000
nt_enhancers,1_vs_0,True,GC-box/Sp1-KLF,SP3,MA0746.3,0.0393,0.012,0.0272,0.5115,0.5115,1.05e-11,4000,4000
nt_enhancers,1_vs_0,True,GC-box/Sp1-KLF,SP4,MA0685.2,0.1145,0.04,0.0745,0.531,0.531,2.95e-28,4000,4000
nt_enhancers,1_vs_0,True,GC-box/Sp1-KLF,KLF15,MA1513.2,0.0467,0.0095,0.0372,0.514,0.514,6.13e-17,4000,4000
nt_enhancers,1_vs_0,True,GC-box/Sp1-KLF,KLF5,MA0599.1,0.1925,0.07,0.1225,0.5449,0.5449,1.13e-38,4000,4000
nt_enhancers,1_vs_0,True,ETS,ETS1,MA0098.4,0.063,0.0473,0.0158,0.5077,0.5077,0.00209,4000,4000
nt_enhancers,1_vs_0,True,ETS,ETS2,MA1484.2,0.0437,0.0295,0.0142,0.5071,0.5071,0.000618,4000,4000
nt_enhancers,1_vs_0,True,ETS,ELF4,MA0641.1,0.007,0.0013,0.0057,0.5029,0.5029,6.03e-05,4000,4000
nt_enhancers,1_vs_0,True,ETS,ETV2,MA0762.2,0.026,0.025,0.001,0.5004,0.5004,0.829,4000,4000
nt_enhancers,1_vs_0,True,ETS,FLI1,MA0475.3,0.0312,0.0257,0.0055,0.5025,0.5025,0.174,4000,4000
nt_enhancers,1_vs_0,True,E-box,TFAP4,MA0691.1,0.035,0.0195,0.0155,0.5073,0.5073,5.72e-05,4000,4000
nt_enhancers,1_vs_0,True,E-box,HAND2,MA1638.2,0.2132,0.1635,0.0497,0.5224,0.5224,1.12e-07,4000,4000
