dataset,n_classes,k,feature_dim,model,n_train,n_test,accuracy,mcc,auroc,train_time_s,peak_ram_mb,split_source,seed,status,error,selected_by_val
nt_promoter_all,2,3,64,lr,53276,5920,0.919595,0.83935,0.973291,0.113,281.8,provided,42,ok,,0
nt_promoter_all,2,3,64,lgbm,53276,5920,0.937331,0.875172,0.983287,2.9697,293.3,provided,42,ok,,0
nt_promoter_all,2,4,256,lr,53276,5920,0.925338,0.850828,0.976759,0.3541,431.8,provided,42,ok,,0
nt_promoter_all,2,4,256,lgbm,53276,5920,0.94375,0.887832,0.985386,3.7922,451.2,provided,42,ok,,1
nt_promoter_all,2,5,1024,lr,53276,5920,0.926014,0.852097,0.978563,0.7182,555.9,provided,42,ok,,0
nt_promoter_all,2,5,1024,lgbm,53276,5920,0.934628,0.870217,0.982783,5.2028,758.9,provided,42,ok,,0
nt_promoter_all,2,6,4096,lr,53276,5920,0.923311,0.846784,0.978312,0.5423,613.3,provided,42,ok,,0
nt_promoter_all,2,6,4096,lgbm,53276,5920,0.924155,0.848661,0.978026,6.6723,896.0,provided,42,ok,,0
nt_promoter_tata,2,3,64,lr,5509,621,0.924316,0.848183,0.972985,0.0143,196.1,provided,42,ok,,0
nt_promoter_tata,2,3,64,lgbm,5509,621,0.929147,0.858932,0.984075,2.5613,215.4,provided,42,ok,,0
nt_promoter_tata,2,4,256,lr,5509,621,0.921095,0.842105,0.976133,0.035,211.6,provided,42,ok,,0
nt_promoter_tata,2,4,256,lgbm,5509,621,0.922705,0.846348,0.983804,2.6896,237.7,provided,42,ok,,1
nt_promoter_tata,2,5,1024,lr,5509,621,0.916264,0.833432,0.976487,0.05,224.6,provided,42,ok,,0
nt_promoter_tata,2,5,1024,lgbm,5509,621,0.924316,0.851018,0.981063,3.4201,288.1,provided,42,ok,,0
nt_promoter_tata,2,6,4096,lr,5509,621,0.924316,0.849091,0.973913,0.0495,231.0,provided,42,ok,,0
nt_promoter_tata,2,6,4096,lgbm,5509,621,0.924316,0.848567,0.973152,4.1322,335.3,provided,42,ok,,0
nt_promoter_no_tata,2,3,64,lr,47767,5299,0.919607,0.839308,0.973324,0.1394,272.2,provided,42,ok,,0
nt_promoter_no_tata,2,3,64,lgbm,47767,5299,0.936781,0.873911,0.982723,2.9827,290.4,provided,42,ok,,0
nt_promoter_no_tata,2,4,256,lr,47767,5299,0.925458,0.851052,0.977014,0.2066,406.0,provided,42,ok,,0
nt_promoter_no_tata,2,4,256,lgbm,47767,5299,0.943197,0.886663,0.984534,3.6628,425.5,provided,42,ok,,1
nt_promoter_no_tata,2,5,1024,lr,47767,5299,0.925269,0.850569,0.978571,0.5582,517.4,provided,42,ok,,0
nt_promoter_no_tata,2,5,1024,lgbm,47767,5299,0.932818,0.866438,0.982505,5.3912,693.9,provided,42,ok,,0
nt_promoter_no_tata,2,6,4096,lr,47767,5299,0.924514,0.849096,0.978098,0.7452,569.2,provided,42,ok,,0
nt_promoter_no_tata,2,6,4096,lgbm,47767,5299,0.927911,0.856114,0.977852,6.1806,778.2,provided,42,ok,,0
nt_enhancers,2,3,64,lr,14968,400,0.7125,0.427362,0.789975,0.0246,209.8,provided,42,ok,,0
nt_enhancers,2,3,64,lgbm,14968,400,0.75,0.503639,0.837175,2.8058,224.7,provided,42,ok,,0
nt_enhancers,2,4,256,lr,14968,400,0.7175,0.437418,0.7941,0.0462,236.4,provided,42,ok,,0
nt_enhancers,2,4,256,lgbm,14968,400,0.755,0.513712,0.849675,3.0037,266.6,provided,42,ok,,1
