dropped_task,rho,p
nt_promoter_all,0.6848484848484848,0.02888279750673277
human_ensembl_regulatory,0.6848484848484848,0.02888279750673277
drosophila_enhancers_stark,0.6969696969696969,0.025096675882251854
human_ocr_ensembl,0.6969696969696969,0.025096675882251854
nt_promoter_tata,0.6969696969696969,0.025096675882251854
human_enhancers_ensembl,0.7333333333333332,0.01580059625057158
human_enhancers_cohn,0.7333333333333332,0.01580059625057158
human_nontata_promoters,0.7333333333333332,0.01580059625057158
nt_promoter_no_tata,0.7454545454545454,0.013330146315440055
nt_enhancers,0.8181818181818182,0.003814920082550714
nt_enhancers_types,0.8303030303030302,0.0029402270232795095
