dataset,role,arm,best_k,retained_neg_frac,n_total,n_pos,n_neg,n_test,tata_auroc,tata_ci,gc_auroc,gc_ci,comp_only_mcc,comp_only_mcc_ci,comp_only_auroc,comp_only_auroc_ci,comp_only_lr_mcc,comp_only_lr_auroc,kmer_mcc,kmer_mcc_ci,kmer_auroc,kmer_auroc_ci,residual_mcc
human_enhancers_cohn,contaminated,original,5,1.0,27791,13895,13896,6948,0.3708,"[0.365,0.376]",0.7374,"[0.731,0.743]",0.410478,"[0.388,0.432]",0.778695,"[0.767,0.789]",0.380858,0.765303,0.461223,"[0.440,0.481]",0.804649,"[0.794,0.814]",0.0507
human_enhancers_cohn,contaminated,comp_equalized,5,0.0451,14522,13895,627,3702,0.4998,"[0.481,0.520]",0.5001,"[0.478,0.521]",0.0,"[0.000,0.000]",0.581328,"[0.537,0.624]",0.0,0.49128,0.064163,"[0.000,0.116]",0.613457,"[0.573,0.653]",0.0642
human_enhancers_cohn,contaminated,gc_match,5,0.6623,23099,13895,9204,5800,0.4265,"[0.419,0.434]",0.6447,"[0.638,0.652]",0.314275,"[0.288,0.339]",0.721383,"[0.707,0.734]",0.235999,0.685902,0.360006,"[0.335,0.385]",0.755507,"[0.743,0.768]",0.0457
human_enhancers_cohn,contaminated,tata_flag,5,0.7777,24702,13895,10807,6149,0.4355,"[0.429,0.442]",0.7121,"[0.706,0.718]",0.364557,"[0.340,0.386]",0.753732,"[0.741,0.765]",0.338376,0.737854,0.406922,"[0.384,0.429]",0.783237,"[0.772,0.794]",0.0424
nt_enhancers,contaminated,original,4,1.0,15368,7684,7684,400,0.3927,"[0.387,0.399]",0.8224,"[0.815,0.829]",0.521672,"[0.439,0.608]",0.824475,"[0.784,0.866]",0.45986,0.796875,0.513712,"[0.430,0.591]",0.849675,"[0.809,0.888]",-0.008
nt_enhancers,contaminated,comp_equalized,4,0.0493,8063,7684,379,236,0.4945,"[0.479,0.511]",0.5398,"[0.507,0.570]",0.101257,"[-0.059,0.270]",0.637083,"[0.521,0.747]",0.0,0.610417,0.0,"[0.000,0.000]",0.747917,"[0.663,0.833]",-0.1013
nt_enhancers,contaminated,gc_match,4,0.4833,11398,7684,3714,303,0.4618,"[0.455,0.468]",0.6814,"[0.671,0.692]",0.170514,"[0.052,0.285]",0.696456,"[0.632,0.756]",0.072551,0.64534,0.194545,"[0.074,0.315]",0.769709,"[0.713,0.823]",0.024
nt_enhancers,contaminated,tata_flag,4,0.7922,13771,7684,6087,351,0.485,"[0.480,0.491]",0.7948,"[0.787,0.802]",0.423494,"[0.323,0.517]",0.796921,"[0.747,0.840]",0.386778,0.755662,0.459419,"[0.373,0.552]",0.827914,"[0.783,0.870]",0.0359
drosophila_enhancers_stark,clean control,original,4,1.0,6914,3457,3457,1730,0.539,"[0.526,0.552]",0.4869,"[0.474,0.500]",0.252925,"[0.206,0.299]",0.683007,"[0.659,0.708]",0.283453,0.687111,0.398321,"[0.355,0.441]",0.763135,"[0.740,0.786]",0.1454
drosophila_enhancers_stark,clean control,comp_equalized,4,0.4287,4939,3457,1482,1082,0.5065,"[0.489,0.523]",0.5237,"[0.505,0.543]",0.048583,"[-0.014,0.115]",0.548451,"[0.507,0.592]",0.0,0.528675,0.176527,"[0.107,0.249]",0.660579,"[0.620,0.699]",0.1279
drosophila_enhancers_stark,clean control,gc_match,4,0.845,6378,3457,2921,1592,0.5221,"[0.509,0.537]",0.5058,"[0.492,0.520]",0.173823,"[0.126,0.223]",0.63021,"[0.601,0.657]",0.258306,0.662913,0.350437,"[0.305,0.398]",0.731708,"[0.707,0.756]",0.1766
drosophila_enhancers_stark,clean control,tata_flag,4,1.0,6914,3457,3457,1730,0.539,"[0.526,0.553]",0.4869,"[0.473,0.501]",0.252925,"[0.208,0.297]",0.683007,"[0.660,0.708]",0.283453,0.687111,0.398321,"[0.354,0.446]",0.763135,"[0.739,0.787]",0.1454
