model,dataset,role,pooling,arm,head,test_effect_auroc,test_effect_auroc_ci,sign,significant
HyenaDNA-tiny-16k-d128,human_enhancers_cohn,contaminated,sep,gc_match,lgbm,-0.0481,"[-0.053,-0.043]",-,True
HyenaDNA-tiny-16k-d128,human_enhancers_cohn,contaminated,sep,gc_match,lr,-0.0502,"[-0.056,-0.045]",-,True
HyenaDNA-tiny-16k-d128,human_enhancers_cohn,contaminated,mean,gc_match,lgbm,-0.0575,"[-0.063,-0.052]",-,True
HyenaDNA-tiny-16k-d128,human_enhancers_cohn,contaminated,mean,gc_match,lr,-0.0727,"[-0.079,-0.067]",-,True
HyenaDNA-tiny-16k-d128,nt_enhancers,contaminated,sep,gc_match,lgbm,-0.0793,"[-0.107,-0.056]",-,True
HyenaDNA-tiny-16k-d128,nt_enhancers,contaminated,sep,gc_match,lr,-0.0971,"[-0.128,-0.067]",-,True
HyenaDNA-tiny-16k-d128,nt_enhancers,contaminated,mean,gc_match,lgbm,-0.0799,"[-0.108,-0.055]",-,True
HyenaDNA-tiny-16k-d128,nt_enhancers,contaminated,mean,gc_match,lr,-0.1243,"[-0.159,-0.093]",-,True
HyenaDNA-tiny-16k-d128,drosophila_enhancers_stark,clean control,sep,gc_match,lgbm,0.0055,"[-0.003,0.014]",+,False
HyenaDNA-tiny-16k-d128,drosophila_enhancers_stark,clean control,sep,gc_match,lr,0.004,"[-0.004,0.013]",+,False
HyenaDNA-tiny-16k-d128,drosophila_enhancers_stark,clean control,mean,gc_match,lgbm,-0.0385,"[-0.047,-0.030]",-,True
HyenaDNA-tiny-16k-d128,drosophila_enhancers_stark,clean control,mean,gc_match,lr,-0.0188,"[-0.033,-0.006]",-,True
