dataset,role,arm,pooling,head,n_orig_test,n_clean_test,orig_full_mcc,orig_full_auroc,orig_on_clean_mcc,orig_on_clean_auroc,clean_on_clean_mcc,clean_on_clean_auroc,unpaired_delta_mcc,unpaired_delta_auroc,paired_delta_mcc,paired_delta_mcc_ci,paired_delta_auroc,paired_delta_auroc_ci,test_effect_mcc,test_effect_mcc_ci,test_effect_auroc,test_effect_auroc_ci
human_enhancers_cohn,contaminated,tata_flag,mean,lgbm,6948,6149,0.421,0.7904,0.3818,0.7685,0.374,0.767,-0.047,-0.0234,-0.0079,"[-0.024,0.009]",-0.0015,"[-0.006,0.003]",-0.0391,"[-0.047,-0.032]",-0.0219,"[-0.026,-0.018]"
human_enhancers_cohn,contaminated,gc_match,mean,lgbm,6948,5800,0.421,0.7904,0.3167,0.7329,0.3381,0.7424,-0.0828,-0.048,0.0214,"[0.001,0.044]",0.0095,"[0.002,0.016]",-0.1042,"[-0.114,-0.095]",-0.0575,"[-0.063,-0.052]"
human_enhancers_cohn,contaminated,comp_equalized,mean,lgbm,6948,3702,0.421,0.7904,0.0868,0.621,0.144,0.638,-0.2769,-0.1524,0.0572,"[-0.026,0.125]",0.017,"[-0.027,0.061]",-0.3341,"[-0.367,-0.298]",-0.1694,"[-0.208,-0.133]"
human_enhancers_cohn,contaminated,tata_flag,mean,lr,6948,6149,0.384,0.775,0.3407,0.7494,0.3507,0.7499,-0.0332,-0.0251,0.01,"[-0.005,0.025]",0.0005,"[-0.000,0.001]",-0.0433,"[-0.051,-0.036]",-0.0256,"[-0.030,-0.022]"
human_enhancers_cohn,contaminated,gc_match,mean,lr,6948,5800,0.384,0.775,0.2604,0.7023,0.2761,0.7105,-0.1079,-0.0645,0.0156,"[-0.007,0.038]",0.0082,"[0.004,0.012]",-0.1235,"[-0.132,-0.114]",-0.0727,"[-0.079,-0.067]"
human_enhancers_cohn,contaminated,comp_equalized,mean,lr,6948,3702,0.384,0.775,0.0348,0.574,0.0,0.6327,-0.384,-0.1423,-0.0348,"[-0.065,-0.002]",0.0587,"[0.028,0.093]",-0.3492,"[-0.380,-0.317]",-0.201,"[-0.239,-0.164]"
human_enhancers_cohn,contaminated,tata_flag,sep,lgbm,6948,6149,0.3173,0.7235,0.2979,0.7096,0.2863,0.7064,-0.031,-0.0171,-0.0115,"[-0.032,0.009]",-0.0031,"[-0.010,0.002]",-0.0195,"[-0.028,-0.012]",-0.0139,"[-0.018,-0.010]"
human_enhancers_cohn,contaminated,gc_match,sep,lgbm,6948,5800,0.3173,0.7235,0.2301,0.6754,0.2257,0.6668,-0.0916,-0.0567,-0.0044,"[-0.028,0.021]",-0.0086,"[-0.016,-0.000]",-0.0872,"[-0.097,-0.077]",-0.0481,"[-0.053,-0.043]"
human_enhancers_cohn,contaminated,comp_equalized,sep,lgbm,6948,3702,0.3173,0.7235,0.0426,0.577,0.0,0.5237,-0.3173,-0.1998,-0.0426,"[-0.078,-0.011]",-0.0533,"[-0.099,-0.011]",-0.2747,"[-0.306,-0.241]",-0.1465,"[-0.183,-0.112]"
human_enhancers_cohn,contaminated,tata_flag,sep,lr,6948,6149,0.3375,0.7298,0.3101,0.7148,0.302,0.7144,-0.0355,-0.0154,-0.0081,"[-0.025,0.008]",-0.0004,"[-0.001,0.000]",-0.0273,"[-0.036,-0.019]",-0.015,"[-0.019,-0.011]"
human_enhancers_cohn,contaminated,gc_match,sep,lr,6948,5800,0.3375,0.7298,0.2452,0.6796,0.2234,0.6843,-0.1141,-0.0455,-0.0219,"[-0.044,-0.000]",0.0047,"[0.001,0.008]",-0.0923,"[-0.102,-0.083]",-0.0502,"[-0.056,-0.045]"
human_enhancers_cohn,contaminated,comp_equalized,sep,lr,6948,3702,0.3375,0.7298,0.0365,0.5597,0.0,0.5835,-0.3375,-0.1463,-0.0365,"[-0.071,-0.003]",0.0238,"[-0.014,0.063]",-0.301,"[-0.333,-0.268]",-0.1701,"[-0.206,-0.134]"
nt_enhancers,contaminated,tata_flag,mean,lgbm,400,351,0.5458,0.8181,0.4735,0.785,0.4074,0.7772,-0.1384,-0.0409,-0.0661,"[-0.111,-0.025]",-0.0078,"[-0.018,0.002]",-0.0723,"[-0.099,-0.048]",-0.0331,"[-0.046,-0.023]"
nt_enhancers,contaminated,gc_match,mean,lgbm,400,303,0.5458,0.8181,0.3765,0.7382,0.257,0.7173,-0.2889,-0.1009,-0.1196,"[-0.210,-0.031]",-0.0209,"[-0.044,0.002]",-0.1693,"[-0.222,-0.117]",-0.0799,"[-0.108,-0.055]"
nt_enhancers,contaminated,comp_equalized,mean,lgbm,400,236,0.5458,0.8181,0.2505,0.6753,0.2182,0.7331,-0.3276,-0.0851,-0.0323,"[-0.284,0.183]",0.0578,"[-0.037,0.144]",-0.2953,"[-0.420,-0.181]",-0.1429,"[-0.225,-0.072]"
