dataset,role,arm,pooling,head,n_train,n_test,accuracy,mcc,mcc_ci,auroc,auroc_ci
human_enhancers_cohn,contaminated,original,mean,lgbm,20843,6948,0.710276,0.420951,"[0.401,0.441]",0.790439,"[0.780,0.800]"
human_enhancers_cohn,contaminated,original,mean,lr,20843,6948,0.69171,0.38397,"[0.364,0.406]",0.774998,"[0.764,0.785]"
human_enhancers_cohn,contaminated,original,sep,lgbm,20843,6948,0.658463,0.31731,"[0.294,0.338]",0.723473,"[0.712,0.735]"
human_enhancers_cohn,contaminated,original,sep,lr,20843,6948,0.668682,0.337477,"[0.315,0.361]",0.729809,"[0.718,0.742]"
human_enhancers_cohn,contaminated,tata_flag,mean,lgbm,18553,6149,0.696048,0.37395,"[0.350,0.398]",0.767008,"[0.755,0.780]"
human_enhancers_cohn,contaminated,tata_flag,mean,lr,18553,6149,0.684502,0.350737,"[0.326,0.373]",0.749877,"[0.738,0.762]"
human_enhancers_cohn,contaminated,tata_flag,sep,lgbm,18553,6149,0.652952,0.286338,"[0.261,0.311]",0.706411,"[0.693,0.720]"
human_enhancers_cohn,contaminated,tata_flag,sep,lr,18553,6149,0.661896,0.302008,"[0.277,0.325]",0.714398,"[0.701,0.727]"
human_enhancers_cohn,contaminated,gc_match,mean,lgbm,17299,5800,0.691379,0.338133,"[0.314,0.363]",0.742424,"[0.730,0.755]"
human_enhancers_cohn,contaminated,gc_match,mean,lr,17299,5800,0.667586,0.276059,"[0.250,0.300]",0.710485,"[0.696,0.723]"
human_enhancers_cohn,contaminated,gc_match,sep,lgbm,17299,5800,0.644483,0.225742,"[0.201,0.250]",0.666823,"[0.654,0.682]"
human_enhancers_cohn,contaminated,gc_match,sep,lr,17299,5800,0.645345,0.223359,"[0.197,0.251]",0.684298,"[0.671,0.700]"
human_enhancers_cohn,contaminated,comp_equalized,mean,lgbm,10820,3702,0.939762,0.144034,"[0.064,0.209]",0.638032,"[0.600,0.677]"
human_enhancers_cohn,contaminated,comp_equalized,mean,lr,10820,3702,0.938412,0.0,"[0.000,0.000]",0.632735,"[0.592,0.677]"
human_enhancers_cohn,contaminated,comp_equalized,sep,lgbm,10820,3702,0.938412,0.0,"[0.000,0.000]",0.523694,"[0.482,0.565]"
human_enhancers_cohn,contaminated,comp_equalized,sep,lr,10820,3702,0.938412,0.0,"[0.000,0.000]",0.583518,"[0.544,0.627]"
nt_enhancers,contaminated,original,mean,lgbm,14968,400,0.7725,0.545826,"[0.465,0.629]",0.81815,"[0.777,0.861]"
