task,k,B,mcc,delta_vs_B1,delta_ci,feat_dim,n_test
nt_splice_sites_all,5,1,0.2426,0.0,"[0.000,0.000]",1024,3000
nt_splice_sites_all,5,2,0.699,0.4564,"[0.426,0.485]",3072,3000
nt_splice_sites_all,5,4,0.768,0.5255,"[0.496,0.555]",5120,3000
nt_splice_sites_all,5,8,0.8431,0.6005,"[0.573,0.630]",9216,3000
nt_splice_sites_all,5,16,0.9016,0.659,"[0.628,0.687]",17408,3000
nt_promoter_tata,4,1,0.8463,0.0,"[0.000,0.000]",256,621
nt_promoter_tata,4,2,0.8559,0.0095,"[-0.016,0.035]",768,621
nt_promoter_tata,4,4,0.8593,0.0129,"[-0.006,0.032]",1280,621
nt_promoter_tata,4,8,0.8657,0.0194,"[-0.003,0.042]",2304,621
nt_promoter_tata,4,16,0.8729,0.0266,"[0.001,0.053]",4352,621
