model,dataset,role,arm,pooling,head,n_orig_test,n_clean_test,orig_full_mcc,orig_full_auroc,orig_on_clean_mcc,orig_on_clean_auroc,clean_on_clean_mcc,clean_on_clean_auroc,unpaired_delta_mcc,unpaired_delta_auroc,paired_delta_mcc,paired_delta_mcc_ci,paired_delta_auroc,paired_delta_auroc_ci,test_effect_mcc,test_effect_mcc_ci,test_effect_auroc,test_effect_auroc_ci
DNABERT-2-117M,human_enhancers_cohn,contaminated,tata_flag,mean,lgbm,6948,6149,0.4931,0.8309,0.4624,0.8143,0.4641,0.8157,-0.029,-0.0151,0.0018,"[-0.014,0.018]",0.0014,"[-0.002,0.005]",-0.0307,"[-0.038,-0.024]",-0.0166,"[-0.020,-0.013]"
DNABERT-2-117M,human_enhancers_cohn,contaminated,gc_match,mean,lgbm,6948,5800,0.4931,0.8309,0.4056,0.7842,0.4413,0.7929,-0.0518,-0.038,0.0356,"[0.017,0.057]",0.0087,"[0.003,0.014]",-0.0875,"[-0.097,-0.079]",-0.0467,"[-0.051,-0.042]"
DNABERT-2-117M,human_enhancers_cohn,contaminated,comp_equalized,mean,lgbm,6948,3702,0.4931,0.8309,0.1512,0.6885,0.1925,0.695,-0.3006,-0.1359,0.0412,"[-0.038,0.109]",0.0065,"[-0.028,0.039]",-0.3418,"[-0.376,-0.306]",-0.1424,"[-0.180,-0.108]"
DNABERT-2-117M,human_enhancers_cohn,contaminated,tata_flag,mean,lr,6948,6149,0.4934,0.8331,0.4612,0.8156,0.4669,0.8169,-0.0265,-0.0161,0.0057,"[-0.006,0.017]",0.0014,"[0.001,0.002]",-0.0322,"[-0.039,-0.025]",-0.0175,"[-0.021,-0.014]"
DNABERT-2-117M,human_enhancers_cohn,contaminated,gc_match,mean,lr,6948,5800,0.4934,0.8331,0.3987,0.7845,0.4154,0.7936,-0.0779,-0.0395,0.0168,"[-0.001,0.036]",0.0091,"[0.006,0.012]",-0.0947,"[-0.104,-0.086]",-0.0486,"[-0.053,-0.044]"
DNABERT-2-117M,human_enhancers_cohn,contaminated,comp_equalized,mean,lr,6948,3702,0.4934,0.8331,0.1354,0.6843,0.0642,0.7349,-0.4292,-0.0982,-0.0713,"[-0.162,-0.008]",0.0506,"[0.022,0.081]",-0.358,"[-0.393,-0.325]",-0.1488,"[-0.185,-0.114]"
DNABERT-2-117M,human_enhancers_cohn,contaminated,tata_flag,cls,lgbm,6948,6149,0.4463,0.8041,0.4159,0.7874,0.4117,0.7866,-0.0346,-0.0175,-0.0042,"[-0.021,0.012]",-0.0009,"[-0.005,0.003]",-0.0304,"[-0.038,-0.023]",-0.0167,"[-0.020,-0.013]"
DNABERT-2-117M,human_enhancers_cohn,contaminated,gc_match,cls,lgbm,6948,5800,0.4463,0.8041,0.3611,0.7576,0.3701,0.7623,-0.0762,-0.0418,0.0091,"[-0.013,0.029]",0.0047,"[-0.001,0.011]",-0.0853,"[-0.095,-0.076]",-0.0465,"[-0.052,-0.042]"
DNABERT-2-117M,human_enhancers_cohn,contaminated,comp_equalized,cls,lgbm,6948,3702,0.4463,0.8041,0.1363,0.6718,0.0,0.6477,-0.4463,-0.1564,-0.1363,"[-0.170,-0.101]",-0.0241,"[-0.066,0.015]",-0.31,"[-0.342,-0.279]",-0.1323,"[-0.169,-0.097]"
DNABERT-2-117M,human_enhancers_cohn,contaminated,tata_flag,cls,lr,6948,6149,0.4763,0.8188,0.4454,0.8019,0.4358,0.8014,-0.0404,-0.0173,-0.0096,"[-0.022,0.004]",-0.0004,"[-0.001,0.001]",-0.0309,"[-0.038,-0.024]",-0.0169,"[-0.020,-0.013]"
