id,chr,start,end,strand,flagged,hit_start,best_bits,tata_center,tss_overlap,klass
train_negative_0,chr16,72728821,72729321,+,False,281,0.33934015,72729105.5,True,negative
train_negative_1,chr8,77295058,77295558,+,True,219,1.6909801,77295280.5,False,negative
train_negative_2,chr4,169773040,169773540,+,True,395,1.6909801,169773438.5,False,negative
train_negative_3,chr1,8178803,8179303,+,True,139,1.5275563,8178945.5,False,negative
train_negative_4,chr2,2901032,2901532,+,False,341,0.7076859,2901376.5,False,negative
train_negative_5,chr6,55145521,55146021,+,True,281,1.5275564,55145805.5,False,negative
train_negative_6,chr3,53465956,53466456,+,False,194,1.0867798,53466153.5,False,negative
train_negative_7,chr16,33760642,33761142,+,True,163,1.5662873,33760808.5,False,negative
train_negative_8,chr16,35385057,35385557,+,True,110,1.6909801,35385170.5,True,negative
train_negative_9,chr8,63525292,63525792,+,False,285,0.82964385,63525580.5,False,negative
train_negative_10,chr11,57264685,57265185,+,True,119,1.6909801,57264807.5,False,negative
train_negative_11,chr4,160460419,160460919,+,True,386,1.359276,160460808.5,False,negative
train_negative_12,chr17,71827451,71827951,+,True,354,1.5662873,71827808.5,False,negative
train_negative_13,chr5,44843505,44844005,+,True,89,1.5662874,44843597.5,False,negative
train_negative_14,chr14,100653093,100653593,+,True,202,1.3003176,100653298.5,False,negative
train_negative_15,chr13,36634463,36634963,+,False,14,1.2178755,36634480.5,False,negative
train_negative_16,chr7,85880872,85881372,+,True,8,1.6909801,85880883.5,False,negative
train_negative_17,chr2,60213249,60213749,+,False,284,1.1854223,60213536.5,False,negative
train_negative_18,chr4,12531005,12531505,+,False,390,1.136894,12531398.5,False,negative
train_negative_19,chr7,35450058,35450558,+,False,73,1.0931828,35450134.5,False,negative
train_negative_20,chr2,30878144,30878644,+,True,122,1.6909801,30878269.5,False,negative
train_negative_21,chr13,86011456,86011956,+,False,364,1.2178754,86011823.5,False,negative
train_negative_22,chr3,139916135,139916635,+,False,228,1.175625,139916366.5,False,negative
train_negative_23,chr12,22106607,22107107,+,True,138,1.6909801,22106748.5,False,negative
train_negative_24,chr3,182394924,182395424,+,True,109,1.6909801,182395036.5,False,negative
train_negative_25,chr11,95254117,95254617,+,False,158,0.73865646,95254278.5,False,negative
train_negative_26,chr3,75424331,75424831,+,True,45,1.3003176,75424379.5,False,negative
train_negative_27,chr2,20851622,20852122,+,False,110,1.0867798,20851735.5,False,negative
train_negative_28,chr5,166816972,166817472,+,True,12,1.359276,166816987.5,False,negative
train_negative_29,chr2,52791969,52792469,+,True,229,1.359276,52792201.5,False,negative
train_negative_30,chr3,86794822,86795322,+,True,300,1.5662874,86795125.5,False,negative
train_negative_31,chr6,135640788,135641288,+,True,443,1.3003176,135641234.5,False,negative
train_negative_32,chr10,120955141,120955641,+,True,119,1.3003176,120955263.5,False,negative
train_negative_33,chr5,160953378,160953878,+,False,358,1.1103598,160953739.5,False,negative
train_negative_34,chr10,91031622,91032122,+,False,264,1.2178755,91031889.5,False,negative
train_negative_35,chr17,11025621,11026121,+,False,383,1.0867798,11026007.5,False,negative
train_negative_36,chr1,121545424,121545924,+,True,210,1.3003176,121545637.5,False,negative
train_negative_37,chr13,64898896,64899396,+,True,14,1.6909801,64898913.5,False,negative
train_negative_38,chr18,56519009,56519509,+,True,439,1.5275564,56519451.5,False,negative
train_negative_39,chr5,98368999,98369499,+,True,196,1.6909801,98369198.5,False,negative
train_negative_40,chr4,120442067,120442567,+,True,402,1.3003176,120442472.5,False,negative
train_negative_41,chr5,114136831,114137331,+,True,32,1.359276,114136866.5,False,negative
train_negative_42,chr15,23788605,23789105,+,True,59,1.6909801,23788667.5,False,negative
train_negative_43,chr13,84229834,84230334,+,True,365,1.3003176,84230202.5,False,negative
train_negative_44,chr11,123325827,123326327,+,False,442,1.2178754,123326272.5,False,negative
train_negative_45,chr10,59477399,59477899,+,True,333,1.5662873,59477735.5,False,negative
train_negative_46,chr7,85265922,85266422,+,True,327,1.359276,85266252.5,False,negative
train_negative_47,chr1,99582846,99583346,+,False,323,0.9753869,99583172.5,False,negative
train_negative_48,chr1,213827870,213828370,+,True,32,1.5662873,213827905.5,False,negative
train_negative_49,chr5,17799789,17800289,+,True,235,1.6909801,17800027.5,False,negative
train_negative_50,chr18,12742528,12743028,+,False,455,1.0931828,12742986.5,False,negative
